Profile,Elo Rating
145,2111.4428098170874
170,2095.6788453194813
141,2074.3261992512203
239,2069.584996060515
136,2063.547065633074
91,1998.8593869026997
3,1988.4055184715103
214,1974.2670276566007
72,1964.1027799746737
84,1961.0186847995274
73,1950.5319641659903
227,1949.850191620886
215,1947.6263454203383
255,1944.4463589258482
243,1942.4320237043535
114,1942.368107668632
244,1932.6217777715883
51,1873.6463558623548
142,1873.5721905443754
178,1872.9008191125065
166,1858.2913896184164
254,1857.0620613045082
206,1845.22758649797
202,1838.95359851155
113,1835.3296517669733
216,1833.8054530907962
205,1817.2850291525492
220,1812.6835646456193
101,1806.683604065249
130,1798.229699903878
88,1787.475009813869
240,1780.6147853235937
228,1762.4751369774854
238,1754.1786993647863
182,1747.5679569585113
237,1743.862430616221
10,1727.4074924115284
198,1726.3859946786758
42,1724.2531312425965
148,1720.020258594428
54,1717.4664281596185
18,1716.930166152392
242,1712.5180567291143
126,1707.777764400408
99,1705.9400886642034
38,1705.8329566543396
53,1702.575124849309
137,1690.6218265369457
121,1690.3047309942172
71,1690.1727192061308
203,1689.9132280401316
183,1689.0459813168227
192,1687.9355489323066
253,1682.3018274476242
233,1681.2814000326046
129,1673.8865753212954
64,1669.806434327839
12,1669.172651747195
162,1669.0370955189442
115,1668.2664803000534
122,1665.7637719238899
164,1664.369428113415
135,1664.1172936357311
133,1655.7428658973756
80,1655.0853755202106
150,1647.8294550882451
81,1646.2482746592914
55,1623.9488247353297
43,1623.5686043711773
241,1623.5250715301288
63,1618.1519041193912
249,1617.5803866558563
223,1615.4019164276235
35,1614.701983810747
218,1613.6641048158956
204,1606.112415678634
77,1599.88419026942
179,1589.4920488803339
247,1586.8272330748964
146,1584.7696078899849
33,1583.6101517544082
45,1580.9005888597799
213,1578.9786535670428
17,1575.2546504874947
69,1573.148799722223
177,1567.1402355170235
56,1566.6780145669493
156,1566.6307965846086
119,1565.6013487245352
160,1563.8239292897135
235,1562.8340293693632
168,1559.1608386470432
40,1551.3334842336822
134,1548.0812856623297
95,1547.598312177116
1,1547.2396641914806
155,1545.9035822003407
46,1542.2854044063884
174,1537.8748940089638
44,1526.3421118133258
78,1520.5036597429817
13,1517.1185926952562
47,1516.2993982867315
75,1502.3309334174876
246,1496.8866995592998
184,1494.7816981253413
66,1494.0344625048297
123,1493.1262939420815
138,1486.2242913939967
11,1484.5679346305133
102,1483.6323076070091
58,1476.888016168458
96,1474.5470644381521
209,1474.3716975009675
159,1471.1242394550193
83,1468.966103484432
70,1468.8808948259377
87,1467.8291265588373
212,1463.531186424413
125,1456.9875453308082
226,1456.3727248454375
231,1453.4666632574185
5,1450.5910508279526
193,1447.3101316968446
61,1441.6348956154704
19,1437.653953629713
16,1432.5606031529283
6,1431.1985463657663
128,1430.1890428309225
147,1419.92201208719
57,1418.3964083977864
89,1418.1349871530326
250,1414.226884060318
116,1410.8938641716468
14,1409.7183146554662
196,1408.5167000495248
161,1406.1179801429266
93,1405.235029127847
24,1404.5730927373704
37,1404.4361759150186
245,1401.6282394471998
85,1396.8298039094793
90,1396.5367987146028
201,1396.029313459751
225,1395.8457408695363
191,1384.1668911421066
48,1372.7943835604824
49,1371.3367540733636
25,1368.47422253691
124,1364.8394249979583
86,1363.6403627993936
158,1360.3508279375126
4,1359.7294062675649
92,1356.0630084013276
219,1355.8427852613165
0,1354.100143150707
229,1353.2159106940637
118,1346.695620299869
74,1340.1267828270963
131,1339.616262556757
185,1335.374809339142
211,1332.0662609596218
9,1328.5082171620513
163,1318.6353063607557
186,1318.2503591832563
149,1314.1350144856276
208,1311.1882045057305
181,1307.7438115046818
59,1305.7144743348001
31,1303.1773426234706
189,1298.4459299410735
108,1296.9245580813622
20,1295.0661759618956
157,1288.304019505584
97,1288.1729169560076
194,1285.92902953886
29,1280.5383512161718
248,1275.26520411789
120,1274.9116092096579
104,1268.592849782552
173,1263.64020774113
195,1260.6958349423787
62,1259.3287489700494
39,1252.9187528305085
68,1248.93199676419
187,1248.773576049268
76,1248.4245630186817
65,1244.4515483806993
2,1243.3393107605439
152,1227.6810237777268
21,1224.853632607042
7,1223.138192762114
79,1217.3963189279912
110,1215.629503028555
180,1215.195333115329
23,1208.0117919275676
26,1205.3164519790273
94,1203.9817531023693
175,1202.977275579883
197,1198.8968524085308
176,1196.2028444710468
109,1192.6254513196836
251,1192.233057011383
107,1188.7861419904896
210,1188.079383411675
27,1182.953293742691
171,1182.693604427523
15,1178.8939105460472
105,1175.8693999408033
111,1175.1318922696876
143,1172.5984436578137
22,1170.549999399722
172,1168.6951012762077
132,1161.270454562174
165,1159.660614856582
30,1148.655607236563
106,1144.664485492832
117,1133.3043896454956
200,1129.3200551125271
112,1128.3075055005636
140,1125.5876448833471
82,1123.873930445362
67,1121.3504347443861
98,1116.0012657581801
199,1114.586590951915
188,1110.2093128662912
252,1103.8347201298545
127,1103.219217738096
8,1099.385347033853
217,1088.5422559265842
41,1083.598925495475
36,1075.3577356198628
32,1062.8338175166762
52,1061.040279796718
34,1060.0691723700686
144,1056.949929402912
100,1051.9927948523446
169,1036.220439268759
50,1018.31648687212
60,1017.8900342236195
139,1012.6035793452593
234,1012.0075812361574
207,1004.6993479027625
221,1003.4387144214417
153,998.3414025119401
103,984.8430959823323
167,969.9712962314767
232,964.5736024281854
154,962.6597987166953
236,954.0183113823156
151,946.6775438200605
28,937.0344412143121
222,836.7925440253225
190,792.4249458388268
224,782.6651529980094
230,614.2890605453498
